iceberg_id,time,latitude,longitude
A76C,2026-09-10,-53.94,-26.43
A81,2026-09-10,-57.36,-47.22
A83,2026-09-10,-61.07,-50.61
A84,2026-09-10,-71.19,-101.65
A85,2026-09-10,-61.72,-53.02
B09B,2026-09-10,-66.07,143.15
B09G,2026-09-10,-68.18,41.5
B22A,2026-09-10,-69.88,164.79
B22F,2026-09-10,-67.42,-176.55
B22H,2026-09-10,-70.21,163.7
B51,2026-09-10,-74.25,-131.68
C15,2026-09-10,-65.84,143.02
C18B,2026-09-10,-67.0,47.36
C18C,2026-09-10,-68.47,39.07
C21B,2026-09-10,-64.98,95.83
C24,2026-09-10,-64.84,96.02
C30,2026-09-10,-64.78,96.27
C31,2026-09-10,-64.68,96.49
C36,2026-09-10,-67.46,146.48
C39,2026-09-10,-65.72,56.28
D15A,2026-09-10,-66.63,81.92
D15B,2026-09-10,-67.02,81.58
D15C,2026-09-10,-67.22,79.41
D15D,2026-09-10,-67.29,79.3
D23,2026-09-10,-69.44,74.71
D32,2026-09-10,-57.96,-39.14
D33A,2026-09-10,-64.0,-55.59
D33B,2026-09-10,-58.69,-50.29
D33C,2026-09-10,-61.64,-53.92
D33D,2026-09-10,-63.57,-55.14
D34,2026-09-10,-67.16,82.06
D35,2026-09-10,-60.35,-44.98
D37,2026-09-10,-69.21,36.36
